id,breed
000bec180eb18c7604dcecc8fe0dba07.jpg,boston_bull
001cdf01b096e06d78e9e5112d419397.jpg,pekinese
00214f311d5d2247d5dfe4fe24b2303d.jpg,bluetick
002211c81b498ef88e1b40b9abf84e1d.jpg,bedlington_terrier
00290d3e1fdd27226ba27a8ce248ce85.jpg,bedlington_terrier
002a283a315af96eaea0e28e7163b21b.jpg,borzoi
0042188c895a2f14ef64a918ed9c7b64.jpg,scottish_deerhound
004396df1acd0f1247b740ca2b14616e.jpg,shetland_sheepdog
006cc3ddb9dc1bd827479569fcdc52dc.jpg,bluetick
00792e341f3c6eb33663e415d0715370.jpg,african_hunting_dog
007b8a07882822475a4ce6581e70b1f8.jpg,redbone
008b1271ed1addaccf93783b39deab45.jpg,doberman
0097c6242c6f3071762d9f85c3ef1b2f.jpg,bedlington_terrier
00b7d114bc5166a629a3cc03d9329120.jpg,irish_water_spaniel
00bee065dcec471f26394855c5c2f3de.jpg,cairn
00ddcec076073cc96f82c27bf4548fbc.jpg,ibizan_hound
00fda6ecca54efbac26e907be4b0b78b.jpg,giant_schnauzer
010d65bd29d246aea53d9849da142ccf.jpg,boston_bull
010e87fdf252645a827e37470e65e842.jpg,groenendael
011bd7fd7c036dbb243d0e37329c77b7.jpg,irish_water_spaniel
011e06760794850c40f23d6426c40774.jpg,dhole
012ff2d21dad14452ea16b4cda7eef4c.jpg,toy_poodle
014c2b0cd8e3b517e649cecf8543b8fe.jpg,african_hunting_dog
0159b6457aac89f43d1c1931cdf7500b.jpg,irish_water_spaniel
015b4aa50dd9b4a0d26dc0c38f41b489.jpg,irish_water_spaniel
0161847d5bfae154af084993fa26a1a7.jpg,giant_schnauzer
0162b3e0144fb1d1ab82fbff3ace9938.jpg,shih-tzu
016bcdb05e2d0e0878877df21b8c3cff.jpg,german_shepherd
018aae5768833c34e3df30d63429251e.jpg,basset
019c92d1ff56deb9d75d809a92bc84d8.jpg,schipperke
019ff93e03802e661577b5869e099dcb.jpg,rhodesian_ridgeback
01a3b064c56edbe3abf55051b16134d4.jpg,irish_setter
01b09bdac592b0eb9909dd105314ad3a.jpg,german_shepherd
01b35a06b00e4a832b935cf8d51303c1.jpg,bloodhound
01b6c2bd3053535a58d8de763cf06aa0.jpg,miniature_schnauzer
01dffcb02d6cba7d2b101fcc93daa6f1.jpg,border_collie
01e787576c003930f96c966f9c3e1d44.jpg,scottish_deerhound
01ee3c7ff9bcaba9874183135877670e.jpg,entlebucher
0206c12e8984e3c8a166cc272de25d6f.jpg,chihuahua
021b5a49189665c0442c19b5b33e8cf1.jpg,entlebucher
0234695e7a548e2ad1b2ac91d6486c1c.jpg,bloodhound
024ecfa590271db8616bfaa59159d7b2.jpg,malinois
025d903b457b865fd29424916e42fbc2.jpg,rhodesian_ridgeback
0267c5f1acbab52ae4a7927e0398612b.jpg,airedale
0287b3374c33346e2b41f73af3a36261.jpg,leonberg
029202b0cf0b5d6d48c6ce7b432409ef.jpg,giant_schnauzer
029ed6af5dcadfd105db9271e12ede14.jpg,rhodesian_ridgeback
02a8ed20109bd62bd5894f276c08c8a2.jpg,leonberg
02c48781eff39a66ae6dd8626e35809e.jpg,irish_setter
02c90d8109d9a48739b9887349d92b1f.jpg,airedale
02d54f0dfb40038765e838459ae8c956.jpg,bernese_mountain_dog
02df8523833c432f90071f86dff69a8f.jpg,bluetick
02eef0f899b81ddf27a42641bc8db9ee.jpg,entlebucher
